Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"MARVIMAR, LDA. (1)";"Outro";"Loures";"1,119 €";"GALP";"GPL Auto";"2026-06-12 12:05";"Lisboa";"Av. Dom Afonso Henriques";"São João da Talha";"2695-691";38.821947;-9.097843
"AUTO MINDRICA LDA.";"Outro";"Alcanena";"0,969 €";"GALP";"GPL Auto";"2026-07-13 15:00";"Santarém";"EN 243 Km 23,2";"Minde";"2395-000";39.519272;-8.687941
"Controlsuper - Com. de Combustiveis Lda";"Outro";"Guimarães";"0,934 €";"GALP";"GPL Auto";"2026-07-28 19:40";"Braga";"Circular Urbana Guimarães\r\nEN 105";"Guimarães";"4810-910";41.4512;-8.300733
"Paralelo Alternativo - Comércio de Combustíveis, Ldª";"Outro";"Coimbra";"0,944 €";"GALP";"GPL Auto";"2026-07-30 00:00";"Coimbra";"IC 2 Km 183,4";"Antanhol- Banhos Secos";"3000-032";40.167801;-8.456432
"Cepsa Povoa Santarém";"Outro";"Santarém";"0,916 €";"CEPSA";"GPL Auto";"2026-08-03 00:00";"Santarém";"EN 3 - Km 46";"Póvoa de Santarém";"2000-531";39.303;-8.68559
"CEPSA Carregal do Sal";"Outro";"Carregal do Sal";"0,976 €";"CEPSA";"GPL Auto";"2026-08-03 00:00";"Viseu";"Arruamento Urbano a Sul da Vila s/nCarregal do Sal";"Carregal do Sal";"3430-154";40.4311;-7.99496
"REPSOL Fogueteiro";"Outro";"Seixal";"0,964 €";"REPSOL";"GPL Auto";"2026-08-03 00:00";"Setúbal";"Rua Oliveira Martins";"Paivas";"2845-381";38.617588;-9.116368
"REPSOL Aires  B";"Outro";"Palmela";"0,944 €";"REPSOL";"GPL Auto";"2026-08-03 00:00";"Setúbal";"EN 252 Km 50,460";"Palmela";"2950-439";38.561623;-8.887839
"REPSOL Aveiro - Nó Sul A";"Outro";"Aveiro";"0,954 €";"REPSOL";"GPL Auto";"2026-08-03 00:00";"Aveiro";"AVENIDA DA UNIVERSIDADE";"Aveiro";"3810-489";40.626743;-8.652549
"REPSOL Gandra - Rotunda Oliveiras";"Outro";"Paredes";"0,974 €";"REPSOL";"GPL Auto";"2026-08-03 00:00";"Porto";"VIA ROTA DOS MÓVEIS, n.º 50";"Gandra";"4585-325";41.196667;-8.434161
"OZ ENERGIA  -  MIRANDELA";"Outro";"Mirandela";"0,984 €";"OZ Energia";"GPL Auto";"2026-08-03 01:00";"Bragança";"Lugar do Espinheiral, EN15, Saída Mirandela Oeste";"Espinheiral";"5370-552";41.479393;-7.205275
"CREIXOAUTO GUIMARAES";"Outro";"Guimarães";"1,059 €";"BP";"GPL Auto";"2026-08-03 07:00";"Braga";"Rua Miradouro de Baixo";"Creixomil";"4835-079";41.43717;-8.31279
"BP Portimão Raminha";"Outro";"Portimão";"0,999 €";"BP";"GPL Auto";"2026-08-03 08:40";"Faro";"Avenida São Lourenço da Barrosa, Lote 18 Alto da Raminha";"Portimão";"8500-510";37.14381;-8.54823
"PRIO PENELA";"Outro";"Penela";"0,929 €";"PRIO";"GPL Auto";"2026-08-03 08:45";"Coimbra";"Zona industrial de Penela, lote 1";"Penela";"3230-292";40.01876;-8.37316
"GALP Caneças Norte (11499) B";"Outro";"Odivelas";"0,944 €";"GALP";"GPL Auto";"2026-08-03 08:50";"Lisboa";"Rua Luis de Camões";"Caneças";"1685-601";38.813442;-9.210954
"L. A. CAMEIRINHA , LDA";"Outro";"Beja";"0,954 €";"GALP";"GPL Auto";"2026-08-03 09:00";"Beja";"Rua de Lisboa";"Beja";"7800-000";38.02075;-7.87145
"GALP CST (Leiria-Lisboa) - 13114";"Outro";"Alcobaça";"0,969 €";"GALP";"GPL Auto";"2026-08-03 09:15";"Leiria";"IC2(EN1), Km 101+100 - Sentido Leiria/Lisboa";"Casais de Santa Teresa";"2460-715";39.570324;-8.878646
"PRIO Pousada de Saramagos";"Outro";"Vila Nova de Famalicão";"0,899 €";"PRIO";"GPL Auto";"2026-08-03 09:15";"Braga";"Av. Riopele 815";"Pousada de Saramagos";"4770-405";41.42762;-8.43019
"VMF- Raposeira";"Outro";"Leiria";"0,897 €";"GALP";"GPL Auto";"2026-08-03 09:30";"Leiria";"Rua Dr. Diogo Almeida Pais Santos";"Colmeias";"2420-003";39.796231;-8.727059
"INTERMARCHÉ Ericeira";"Outro";"Mafra";"0,869 €";"INTERMARCHÉ";"GPL Auto";"2026-08-03 09:30";"Lisboa";"Estrada Nacional 116, Km 1, Edifício INTERMARCHÉ";"Ericeira";"2655-139";38.96593;-9.40785
"Q8 Albergaria-a-Velha";"Outro";"Albergaria-a-Velha";"0,889 €";"Q8";"GPL Auto";"2026-08-03 09:40";"Aveiro";"Rua Dr. Quina Ferreira, 74 (EN 16 ao km 11.9)";"Sobreiro";"3850-273";40.68503;-8.521238
"BP Avanca (S-N)";"Outro";"Estarreja";"0,999 €";"BP";"GPL Auto";"2026-08-03 09:40";"Aveiro";"R. do Falcão, E.N. 109 - Km 44.3";"Avanca";"3860-060";40.785388;-8.566024
"E. LECLERC PORTALEGRE";"Outro";"Portalegre";"0,959 €";"LECLERC";"GPL Auto";"2026-08-03 09:50";"Portalegre";"Rua do Joinal";"Lugar do Gaveto";"7300-000";39.27842;-7.43255
"Intermarché Vialonga";"Outro";"Vila Franca de Xira";"0,889 €";"INTERMARCHÉ";"GPL Auto";"2026-08-03 09:55";"Lisboa";"Urb. Terras Compridas, Lote 8\nEstrada da Várzea";"Vialonga";"2625-716";38.86376;-9.09955
"BP - Vale de Figueira";"Outro";"Loures";"0,954 €";"BP";"GPL Auto";"2026-08-03 09:55";"Lisboa";"Rua Alfredo Vitorino Costa";"Vale de Figueira";"2695-772";38.82893;-9.10132
"Chamauto -  Sociedade Transmontana de  Automóveis, Lda (1)";"Outro";"Chaves";"0,999 €";"GALP";"GPL Auto";"2026-08-03 10:10";"Vila Real";"EN 2";"Lombo";"5400-000";41.72866;-7.47115
"COPREL";"Outro";"Mafra";"0,859 €";"GALP";"GPL Auto";"2026-08-03 10:20";"Lisboa";"RUA FRANCISCO AUGUSTO LEITE, 4A DA PERRA";"MAFRA";"2640-410";38.9516;-9.33227
"REPSOL Coina";"Outro";"Barreiro";"0,974 €";"REPSOL";"GPL Auto";"2026-08-03 10:35";"Setúbal";"Estrada Nacional 10";"Coina";"2830-411";38.592712;-9.046671
"REPSOL Lordelo do Ouro";"Outro";"Porto";"1,004 €";"REPSOL";"GPL Auto";"2026-08-03 10:35";"Porto";"Av. Marechal Gomes da Costa, 99";"Porto";"4150-357";41.16147;-8.65623
"ALVES BANDEIRA Albergaria-a-Velha (Urgeiras)";"Outro";"Albergaria-a-Velha";"0,864 €";"ALVES BANDEIRA";"GPL Auto";"2026-08-03 10:45";"Aveiro";"Zona Industrial de Urgueiras - Lugar de Coito";"Urgueiras";"3850-280";40.70629;-8.482127
"PRIO - Perelhal";"Outro";"Barcelos";"0,909 €";"PRIO";"GPL Auto";"2026-08-03 11:00";"Braga";"Rua Frei Pedro de Perelhal, 856";"Perelhal";"4750-620";41.53171;-8.69155
"PA Amarante - Petrofregim";"Outro";"Amarante";"0,935 €";"PRIO";"GPL Auto";"2026-08-03 11:15";"Porto";"Rua Antonio Carneiro nº. 251";"Amarante";"4600-049";41.266052;-8.070321
"BP- VERMIL";"Outro";"Guimarães";"1,109 €";"BP";"GPL Auto";"2026-08-03 11:20";"Braga";"Rua da Portela nº1005";"Vermil";"4805-546";41.445744;-8.400159
"ALVES BANDEIRA Lourosa B (Norte-Sul)";"Outro";"Santa Maria da Feira";"0,924 €";"ALVES BANDEIRA";"GPL Auto";"2026-08-03 11:25";"Aveiro";"E.N. 1 - AV. PRINCIPAL, Nº 110";"Lourosa";"4535-090";40.99839;-8.540699
"GASPE Bragança";"Outro";"Bragança";"1,123 €";"GASPE";"GPL Auto";"2026-08-03 11:25";"Bragança";"Estrada Vale de Álvaro";"Bragança";"5300-274";41.81918;-6.75501
"ALVES BANDEIRA Vale de Ourém";"Outro";"Batalha";"0,864 €";"ALVES BANDEIRA";"GPL Auto";"2026-08-03 11:25";"Leiria";"E.N. 356 - ESTRADA DA BATALHA";"Vale de Ourém";"2495-036";39.63865;-8.71554
"ALVES BANDEIRA Landim";"Outro";"Vila Nova de Famalicão";"0,884 €";"ALVES BANDEIRA";"GPL Auto";"2026-08-03 11:25";"Braga";"Rua da Est Nacional 204/5, Nº 2035";"Landim";"4770-309";41.379173;-8.451441
"ALVES BANDEIRA Santa Cruz do Bispo";"Outro";"Matosinhos";"0,879 €";"ALVES BANDEIRA";"GPL Auto";"2026-08-03 11:35";"Porto";"Av. Arquiteto Fernando Távora, 1040 - Lugar de Aguiar";"Santa Cruz do Bispo";"4455-877";41.213566;-8.682849
"BP Barcelos - Ucha (Carbuiberia)";"Outro";"Barcelos";"0,905 €";"BP";"GPL Auto";"2026-08-03 11:35";"Braga";"EN 205, km 33,300 - Lugar de Crasto  - Ucha de São Romão";"Ucha";"4750-767";41.57254;-8.523811
"A. PINTO, LDA.(1)";"Outro";"Faro";"0,944 €";"GALP";"GPL Auto";"2026-08-03 11:40";"Faro";"EN 125 Km 107,6";"Rio Seco";"8005-528";37.02859;-7.90614
"NOVAIS ";"Outro";"Barcelos";"0,888 €";"ESSO";"GPL Auto";"2026-08-03 12:05";"Braga";"R. Santa Eulália, 1579";"Negreiros e Chavão";"4775-193";41.43241;-8.61615
"Novais & Ferreira";"Outro";"Barcelos";"0,898 €";"ESSO";"GPL Auto";"2026-08-03 12:05";"Braga";"EM 306";"Lugar da Portela - Góios";"4755-247";41.475166;-8.632308
"Prio Valadares";"Outro";"Vila Nova de Gaia";"0,999 €";"PRIO";"GPL Auto";"2026-08-03 12:05";"Porto";"Av. Combatentes do Ultramar Português";"Valadares";"4405-707";41.0855;-8.63278
"REPSOL Vila Verde";"Outro";"Vila Verde";"0,974 €";"REPSOL";"GPL Auto";"2026-08-03 12:10";"Braga";"Av. António Sérgio, S/N";"Vila Verde";"4730-709";41.644604;-8.436118
